FCOD,PCOD,PRCOD,QUANTITA
F001,P001,PR01,100
F001,P001,PR02,50
F001,P033,PR58,90020
F003,P001,PR01,4000
F003,P001,PR08,9000
F003,P002,PR08,1400
F003,P004,PR05,100
F003,P006,PR07,1980
F004,P001,PR01,1020
F004,P001,PR06,1003
F116,P001,PR01,1008
F116,P001,PR03,1003
F116,P001,PR04,1030
F116,P002,PR02,1020
F116,P002,PR04,1030
F116,P007,PR01,1008
F130,P005,PR06,440
F217,P001,PR58,10
F217,P004,PR03,10
F218,P001,PR08,200
F230,P001,PR01,3000
F230,P002,PR01,344
F230,P003,PR02,2008
F230,P033,PR02,2008
F313,P002,PR04,204
F313,P002,PR05,124
F314,P001,PR03,9008
F314,P003,PR07,1008
F314,P033,PR03,9008
F314,P033,PR07,1008
F315,P001,PR01,104
F315,P003,PR03,344
F315,P006,PR01,10000
F315,P033,PR01,10000
F316,P003,PR02,90020
F317,P002,PR07,6003
F317,P007,PR04,456899
F317,P008,PR58,456899
